title,authors,description,categories
To Kill a Mockingbird,Harper Lee,"A gripping tale of racial injustice and childhood innocence in the American South. Scout Finch narrates the story of her father, lawyer Atticus Finch, defending a black man falsely accused of rape in 1930s Alabama.",Fiction
1984,George Orwell,"A dystopian social science fiction novel set in a totalitarian society ruled by Big Brother. Winston Smith works at the Ministry of Truth, rewriting history, but begins to rebel against the oppressive regime.",Science Fiction
Pride and Prejudice,Jane Austen,"A romantic novel of manners following Elizabeth Bennet as she deals with issues of morality, education, and marriage in the landed gentry of early 19th-century England.",Romance
The Great Gatsby,F. Scott Fitzgerald,"A tragic story of Jay Gatsby and his obsessive pursuit of Daisy Buchanan, set in the Jazz Age of 1920s America. A critique of the American Dream and the decadence of the wealthy elite.",Fiction
Harry Potter and the Sorcerer's Stone,J.K. Rowling,An orphaned boy discovers he's a wizard and attends Hogwarts School of Witchcraft and Wizardry. Harry Potter faces dark forces while making friends and learning magic in this enchanting adventure.,Fantasy
The Hobbit,J.R.R. Tolkien,"Bilbo Baggins, a hobbit, is swept into an epic quest to reclaim a treasure guarded by the dragon Smaug. A tale of adventure, courage, and unexpected heroism in Middle-earth.",Fantasy
The Catcher in the Rye,J.D. Salinger,"Holden Caulfield narrates his experiences in New York City after being expelled from prep school. A story of teenage rebellion, alienation, and the loss of innocence.",Fiction
The Lord of the Rings,J.R.R. Tolkien,"An epic high fantasy trilogy following Frodo Baggins on his quest to destroy the One Ring and defeat the Dark Lord Sauron. A tale of friendship, sacrifice, and the battle between good and evil.",Fantasy
Animal Farm,George Orwell,"A satirical allegory of Soviet totalitarianism where farm animals rebel against their human farmer, only to find themselves under a new tyranny. A powerful critique of political corruption.",Political Fiction
Brave New World,Aldous Huxley,"A dystopian novel set in a futuristic World State where citizens are genetically engineered and conditioned for predetermined roles. Explores themes of technology, control, and individuality.",Science Fiction
The Chronicles of Narnia,C.S. Lewis,"Four siblings discover a magical wardrobe that leads to Narnia, a land of talking animals and mythical creatures. They join the lion Aslan in the battle against the White Witch.",Fantasy
Jane Eyre,Charlotte Brontë,"An orphaned governess falls in love with her brooding employer, Mr. Rochester, but dark secrets threaten their happiness. A Gothic romance exploring themes of morality, social class, and feminism.",Romance
Wuthering Heights,Emily Brontë,"A passionate and destructive love story between Heathcliff and Catherine Earnshaw set on the Yorkshire moors. A Gothic tale of revenge, obsession, and the supernatural.",Romance
The Diary of a Young Girl,Anne Frank,The real diary of a Jewish girl hiding from the Nazis during World War II in Amsterdam. A poignant and powerful testament to the human spirit in the face of persecution.,Biography
Fahrenheit 451,Ray Bradbury,"In a future American society where books are outlawed and burned, fireman Guy Montag begins to question his role. A dystopian novel about censorship, conformity, and the power of literature.",Science Fiction
The Hunger Games,Suzanne Collins,"In a dystopian future, teenagers are forced to fight to the death in a televised event. Katniss Everdeen volunteers to save her sister and becomes a symbol of rebellion against tyranny.",Science Fiction
Divergent,Veronica Roth,"In a society divided into five factions, Tris Prior discovers she's Divergent and doesn't fit into any single group. She must hide her identity while uncovering a conspiracy that threatens her world.",Science Fiction
The Fault in Our Stars,John Green,"Two teenagers with cancer meet at a support group and fall in love. A heartbreaking and beautiful story about life, death, and finding meaning in the face of mortality.",Romance
The Book Thief,Markus Zusak,"Narrated by Death, this novel follows Liesel, a young girl living in Nazi Germany who steals books and shares them with others. A story of courage, friendship, and the power of words.",Historical Fiction
The Kite Runner,Khaled Hosseini,"A powerful story of friendship, betrayal, and redemption set in Afghanistan. Amir seeks to atone for his childhood betrayal of his loyal friend Hassan against the backdrop of a changing country.",Historical Fiction
Life of Pi,Yann Martel,"After a shipwreck, a young Indian boy named Pi survives 227 days stranded on a lifeboat with a Bengal tiger. A philosophical adventure about faith, survival, and storytelling.",Adventure
The Alchemist,Paulo Coelho,"A young Andalusian shepherd named Santiago travels to Egypt in search of treasure, learning profound lessons about following one's dreams and listening to one's heart along the way.",Fiction
Gone Girl,Gillian Flynn,"When Amy Dunne disappears on her fifth wedding anniversary, her husband Nick becomes the prime suspect. A psychological thriller full of twists, lies, and dark secrets.",Mystery
The Girl with the Dragon Tattoo,Stieg Larsson,"Journalist Mikael Blomkvist and hacker Lisbeth Salander investigate a decades-old disappearance in this gripping Swedish crime thriller. Dark, complex, and utterly compelling.",Mystery
The Da Vinci Code,Dan Brown,"Symbologist Robert Langdon unravels a mystery involving the Holy Grail, secret societies, and religious conspiracies. A fast-paced thriller blending art, history, and suspense.",Thriller
Angels & Demons,Dan Brown,"Robert Langdon races against time to prevent the Illuminati from destroying Vatican City with antimatter. A thrilling adventure through Rome involving science, religion, and ancient secrets.",Thriller
The Shining,Stephen King,"Jack Torrance becomes the winter caretaker of the isolated Overlook Hotel with his family. As supernatural forces take hold, Jack descends into madness with terrifying consequences.",Horror
It,Stephen King,"A group of childhood friends reunite to confront a shape-shifting evil entity that preys on children in their hometown of Derry, Maine. A horror epic about fear, friendship, and courage.",Horror
Carrie,Stephen King,A bullied teenage girl with telekinetic powers unleashes her fury on her tormentors at the high school prom. Stephen King's first published novel is a chilling tale of revenge and supernatural horror.,Horror
The Stand,Stephen King,"After a deadly plague wipes out most of humanity, survivors must choose between good and evil in a post-apocalyptic America. An epic battle between light and darkness unfolds.",Horror
Dune,Frank Herbert,"On the desert planet Arrakis, young Paul Atreides becomes embroiled in political intrigue and a struggle for control of the universe's most valuable substance, spice melange. A science fiction masterpiece.",Science Fiction
Foundation,Isaac Asimov,Mathematician Hari Seldon predicts the fall of the Galactic Empire and establishes the Foundation to preserve knowledge and shorten the coming dark age. A groundbreaking science fiction saga.,Science Fiction
Neuromancer,William Gibson,"A washed-up computer hacker is hired for one last job in cyberspace. This cyberpunk classic explores artificial intelligence, virtual reality, and corporate power in a dystopian future.",Science Fiction
The Handmaid's Tale,Margaret Atwood,"In the totalitarian Republic of Gilead, women are subjugated and forced into reproductive servitude. Offred's story is a chilling dystopian warning about religious extremism and patriarchy.",Science Fiction
The Road,Cormac McCarthy,"A father and son journey through a post-apocalyptic America, struggling to survive and maintain their humanity in a world of ash and despair. A haunting meditation on love and survival.",Post-Apocalyptic
The Martian,Andy Weir,"Astronaut Mark Watney is stranded alone on Mars and must use his ingenuity and scientific knowledge to survive until rescue. A thrilling, humorous, and scientifically accurate survival story.",Science Fiction
Ready Player One,Ernest Cline,"In a dystopian future, people escape reality through a virtual world called the OASIS. When the creator dies, he leaves behind a treasure hunt that could change everything.",Science Fiction
Ender's Game,Orson Scott Card,"Brilliant child Andrew 'Ender' Wiggin is trained at Battle School to lead humanity's fight against an alien invasion. A science fiction classic exploring war, morality, and childhood.",Science Fiction
The Hitchhiker's Guide to the Galaxy,Douglas Adams,Arthur Dent is rescued from Earth's destruction by his alien friend Ford Prefect and embarks on a hilarious cosmic adventure. A comedic science fiction masterpiece full of wit and absurdity.,Science Fiction
Slaughterhouse-Five,Kurt Vonnegut,"Billy Pilgrim becomes 'unstuck in time' and experiences his life non-linearly, including his experiences as a POW during the bombing of Dresden. A satirical anti-war novel.",Science Fiction
Catch-22,Joseph Heller,Captain John Yossarian tries to survive World War II while dealing with the absurd bureaucracy of military life. A darkly comic satire of war and institutional madness.,Satire
The Color Purple,Alice Walker,"Celie, a poor black woman in the American South, overcomes abuse and oppression through the support of other women. An epistolary novel about resilience, love, and self-discovery.",Historical Fiction
Beloved,Toni Morrison,"Sethe, an escaped slave, is haunted by the ghost of her dead daughter in post-Civil War Ohio. A powerful exploration of slavery's trauma and the struggle for freedom and identity.",Historical Fiction
